nacecode,nace_description
43221,Loodgieterswerk
41201,Algemene bouw van residentiële gebouwen
68311,"Bemiddeling bij de aankoop, verkoop en verhuur van onroerend goed voor een vast bedrag of op contractbasis"
47521,"Bouwmarkten en andere doe-het-zelfzaken in bouwmaterialen, algemeen assortiment"
43999,Overige gespecialiseerde bouwwerkzaamheden
23610,Vervaardiging van artikelen van beton voor de bouw
46731,"Groothandel in bouwmaterialen, algemeen assortiment"
31010,Vervaardiging van kantoor- en winkelmeubelen
25110,Vervaardiging van metalen constructiewerken en delen daarvan
25610,Oppervlaktebehandeling van metalen
43299,"Overige bouwinstallatie, n.e.g."
43320,Schrijnwerk
43343,Glaszetten
43222,"Installatie van verwarming, klimaatregeling en ventilatie"
43390,Overige werkzaamheden in verband met de afwerking van gebouwen
28220,"Vervaardiging van hijs-, hef- en transportwerktuigen"
43211,Elektrotechnische installatiewerken aan gebouwen
64200,Holdings
68201,"Verhuur en exploitatie van eigen of geleasd residentieel onroerend goed, exclusief sociale woningen"
82110,Diverse administratieve activiteiten ten behoeve van kantoren
42919,"Waterbouw, m.u.v. baggerwerken"
42110,Bouw van autowegen en andere wegen
43333,Plaatsen van behang en vloerbedekking en wandbekleding van andere materialen
70220,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering
23190,Vervaardiging en bewerking van ander glas (inclusief technisch glaswerk)
41102,Ontwikkeling van niet-residentiële bouwprojecten
41101,Ontwikkeling van residentiële bouwprojecten
41202,Algemene bouw van kantoorgebouwen
43341,Schilderen van gebouwen
41203,Algemene bouw van andere niet-residentiële gebouwen
43120,Bouwrijp maken van terreinen
43291,Isolatiewerkzaamheden
43331,Plaatsen van vloer- en wandtegels
24340,Koudtrekken van draad
23110,Vervaardiging van vlakglas
13300,Textielveredeling
14130,Vervaardiging van andere bovenkleding
47591,Detailhandel in huismeubilair in gespecialiseerde winkels
46190,"Handelsbemiddeling in goederen, algemeen assortiment"
43310,Stukadoorswerk
50200,Goederenvervoer over zee- en kustwateren
42911,Baggerwerken
68100,Handel in eigen onroerend goed
68202,Verhuur en exploitatie van sociale woningen
73200,Markt- en opinieonderzoekbureaus
71111,Bouwarchitecten
47592,Detailhandel in verlichtingsartikelen in gespecialiseerde winkels
43910,Dakwerkzaamheden
46392,"Niet-gespecialiseerde groothandel in niet-diepgevroren voedingsmiddelen, dranken en genotmiddelen"
43342,Schilderen van civieltechnische werken
43110,Slopen
70210,Adviesbureaus op het gebied van public relations en communicatie
82990,"Overige zakelijke dienstverlening, n.e.g."
25120,Vervaardiging van metalen deuren en vensters
46620,Groothandel in gereedschapswerktuigen
43991,Waterdichtingswerken van muren
46473,Groothandel in verlichtingsapparatuur
28250,"Vervaardiging van machines en apparaten voor de koeltechniek en de  klimaatregeling, voor niet-huishoudelijk gebruik"
46739,Groothandel in overige bouwmaterialen
25501,Smeden van metaal
8111,Winning van bouw- en siersteen
42990,"Bouw van andere civieltechnische werken, n.e.g."
8121,Winning van grind
42220,Bouw van civieltechnische werken voor elektriciteit en telecommunicatie
23990,"Vervaardiging van andere niet-metaalhoudende minerale producten, n.e.g."
68203,"Verhuur en exploitatie van eigen of geleasd niet-residentieel onroerend goed, exclusief terreinen"
42211,Bouw van water- en gasdistributienetten
46610,"Groothandel in machines, werktuigen en toebehoren voor de  landbouw"
47620,Detailhandel in kranten en kantoorbehoeften in gespecialiseerde  winkels
46772,Groothandel in ijzer- en staalschroot en in oude non-ferrometalen
49410,"Goederenvervoer over de weg, m.u.v. verhuisbedrijven"
42120,Bouw van boven- en ondergrondse spoorwegen
39000,Sanering en ander afvalbeheer
42130,Bouw van bruggen en tunnels
81300,Landschapsverzorging
16230,Vervaardiging van ander schrijn- en timmerwerk
16291,Vervaardiging van andere artikelen van hout
46710,"Groothandel in vaste, vloeibare en gasvormige brandstoffen en aanverwante producten"
47789,"Overige detailhandel in nieuwe artikelen in gespecialiseerde winkels, n.e.g."
46742,Groothandel in installatiemateriaal voor loodgieterswerk en verwarming
26300,Vervaardiging van communicatieapparatuur
46900,Niet-gespecialiseerde groothandel
27120,Vervaardiging van schakel- en verdeelinrichtingen
43332,Plaatsen van vloerbedekking en wandbekleding van hout
23700,"Houwen, bewerken en afwerken van natuursteen"
43995,Restaureren van bouwwerken
33150,Reparatie en onderhoud van schepen
47781,"Detailhandel in vaste, vloeibare en gasvormige brandstoffen in gespecialiseerde winkels, m.u.v. motorbrandstoffen"
16210,Vervaardiging van fineer en van panelen op basis van hout
28990,"Vervaardiging van andere machines, apparaten en werktuigen voor  specifieke doeleinden, n.e.g."
46630,"Groothandel in machines voor de mijnbouw, de bouwnijverheid en de weg- en waterbouw"
96012,Activiteiten van wasserettes en wassalons ten behoeve van particulieren
46431,Groothandel in elektrische huishoudelijke apparaten en audio- en videoapparatuur
33110,Reparatie van producten van metaal
33200,"Installatie van industriële machines, toestellen en werktuigen"
46140,"Handelsbemiddeling in machines, apparaten en werktuigen voor de industrie en in schepen en luchtvaartuigen"
46693,"Groothandel in elektrisch materiaal, inclusief installatiemateriaal"
56101,Eetgelegenheden met volledige bediening
56102,Eetgelegenheden met beperkte bediening
64921,Verstrekken van verbruikskrediet
66199,"Overige ondersteunende activiteiten in verband met financiële diensten, exclusief verzekeringen en pensioenfondsen, n.e.g."
23690,"Vervaardiging van andere artikelen van beton, gips en cement"
46741,Groothandel in ijzerwaren
43130,Proefboren en boren
71209,Overige technische testen en toetsen
43992,Gevelreiniging
46732,Groothandel in hout
42212,Bouw van rioleringen
31091,"Vervaardiging van eetkamer-, zitkamer-, slaapkamer- en badkamermeubelen"
77320,Verhuur en lease van machines en installaties voor de bouwnijverheid en de weg- en waterbouw
45193,"Detailhandel in andere motorvoertuigen (> 3,5 ton)"
47530,Detailhandel in tapijten en andere vloerbedekking en wandbekleding in  gespecialiseerde winkels
35120,Transmissie van elektriciteit
35140,Handel in elektriciteit
46769,"Groothandel in andere intermediaire producten, n.e.g."
77399,Verhuur en lease van andere machines en werktuigen en andere materiële goederen
46442,Groothandel in reinigingsmiddelen
47540,Detailhandel in elektrische huishoudapparaten in gespecialiseerde winkels
23630,Vervaardiging van stortklare beton
9900,Ondersteunende activiteiten in verband met de overige winning van delfstoffen
68204,Verhuur en exploitatie van terreinen
68321,Beheer van residentieel onroerend goed voor een vast bedrag of op contractbasis
71121,"Ingenieurs en aanverwante technische adviseurs, exclusief landmeters"
2200,Exploitatie van bossen
52249,"Overige vrachtbehandeling, exclusief in zeehavens"
42219,"Bouw van civieltechnische werken voor vloeistoffen, n.e.g."
16100,Zagen en schaven van hout
62010,Ontwerpen en programmeren van computerprogramma's
62020,Computerconsultancy-activiteiten
80200,Diensten in verband met beveiligingssystemen
52241,Vrachtbehandeling in zeehavens
56290,Overige eetgelegenheden
93110,Exploitatie van sportaccommodaties
93292,Exploitatie van recreatiedomeinen
43994,Uitvoeren van metsel- en voegwerken
23310,Vervaardiging van keramische tegels en plavuizen
70100,Activiteiten van hoofdkantoren
31020,Vervaardiging van keukenmeubelen
43996,Chapewerken
47529,Detailhandel in overige bouwmaterialen in gespecialiseerde winkels
45111,"Groothandel in auto's en lichte bestelwagens (= 3,5 ton)"
95290,Reparatie van andere consumentenartikelen
47527,Detailhandel in sanitaire artikelen en sanitair installatiemateriaal in gespecialiseerde winkels
46697,"Groothandel in machines en apparaten voor de warmte-, koel- en vriestechniek voor industrieel gebruik"
13921,"Vervaardiging van beddengoed, tafellinnen en textielwaren voor huishoudelijk gebruik"
35110,Productie van elektriciteit
91030,Exploitatie van monumenten en dergelijke toeristenattracties
52100,Opslag in koelpakhuizen en overige opslag
22230,Vervaardiging van kunststofartikelen voor de bouw
47192,Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen niet overheersen (verkoopoppervlakte. = 2500 m²)
77310,Verhuur en lease van landbouwmachines en -werktuigen
35220,Distributie van gasvormige brandstoffen via leidingen
35300,Productie en distributie van stoom en gekoelde lucht
77291,"Verhuur en lease van machines, apparatuur en handgereedschap voor doe-het-zelvers"
49420,Verhuisbedrijven
1610,Ondersteunende activiteiten in verband met de teelt van gewassen
2100,Bosbouw
2400,Ondersteunende diensten in verband met de bosbouw
46494,Groothandel in niet-elektrische huishoudelijke artikelen
45113,"Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)"
23321,Vervaardiging van bakstenen
96040,"Sauna's, solaria, baden enz."
32990,"Overige industrie, n.e.g."
46425,Groothandel in schoeisel
66220,Verzekeringsagenten en -makelaars
47761,"Detailhandel in bloemen, planten, zaden en kunstmeststoffen in gespecialiseerde winkels"
96031,Uitvaartverzorging
24420,Productie van aluminium
24100,Vervaardiging van ijzer en staal en van ferrolegeringen
77292,Verhuur en lease van televisietoestellen en andere audio- en videoapparatuur
46499,"Groothandel in andere consumentenartikelen, n.e.g."
25300,"Vervaardiging van stoomketels, exclusief warmwaterketels voor centrale verwarming"
95210,Reparatie van consumentenelektronica
46130,Handelsbemiddeling in hout en bouwmaterialen
45310,Handelsbemiddeling en groothandel in onderdelen en accessoires van motorvoertuigen
43212,"Elektrotechnische installatiewerken, uitgezonderd aan gebouwen"
27510,Vervaardiging van elektrische huishoudapparaten
1500,Gemengd bedrijf
8122,Winning van zand
26510,"Vervaardiging van meet-, controle- en navigatie-instrumenten  en -apparatuur"
27900,Vervaardiging van andere elektrische apparatuur
46180,Handelsbemiddeling gespecialiseerd in andere goederen
71112,Interieurarchitecten
22220,Vervaardiging van verpakkingsmateriaal van kunststof
22290,Vervaardiging van andere producten van kunststof
46216,"Groothandel in akkerbouwproducten en veevoeders, algemeen assortiment"
68322,Beheer van niet-residentieel onroerend goed voor een vast bedrag of op contractbasis
25502,"Persen, stampen en profielwalsen van metaal; poedermetallurgie"
38219,Overige verwerking en verwijdering van ongevaarlijk afval
29100,Vervaardiging en assemblage van motorvoertuigen
38221,Voorbehandeling van gevaarlijk afval met het oog op verwijdering
66290,Overige ondersteunende activiteiten in verband met verzekeringen en pensioenfondsen
25620,Verspanend bewerken van metalen
81220,Overige reiniging van gebouwen; industriële reiniging
46150,"Handelsbemiddeling in meubelen, huishoudelijke artikelen en ijzerwaren"
27110,Vervaardiging van elektromotoren en van elektrische generatoren en transformatoren
77394,Verhuur en lease van woon- en bureelcontainers en dergelijke accommodatie
72190,Overig speur- en ontwikkelingswerk op natuurwetenschappelijk  gebied
81100,Diverse ondersteunende activiteiten ten behoeve van voorzieningen
47410,"Detailhandel in computers, randapparatuur en software in gespecialiseerde winkels"
47910,Detailhandel via postorderbedrijven of via internet
73110,Reclamebureaus
55900,Overige accommodatie
46733,"Groothandel in behang, verf en woningtextiel"
45194,"Handel in aanhangwagens, opleggers en caravans"
47791,Detailhandel in antiquiteiten in winkels
45201,"Algemeen onderhoud en reparatie van auto's en lichte bestelwagens (= 3,5 ton)"
81210,Algemene reiniging van gebouwen
61300,Telecommunicatie via satelliet
61900,Overige telecommunicatie
77110,"Verhuur en lease van personenauto's en lichte bestelwagens (< 3,5 ton)"
36000,"Winning, behandeling en distributie van water"
33120,Reparatie van machines
25999,"Vervaardiging van overige artikelen van metaal, n.e.g."
55204,Gastenkamers
46660,"Groothandel in andere kantoormachines en kantoorbenodigdheden, met uitzondering van computers en randapparatuur"
47522,Detailhandel in houten bouw- en tuinmaterialen in gespecialiseerde winkels
47525,Detailhandel in ijzerwaren en gereedschappen in gespecialiseerde winkels
1450,Fokken van schapen en geiten
74105,Activiteiten van decorateur-etalagisten
46412,Groothandel in huishoudtextiel en beddengoed
45192,"Handelsbemiddeling in andere motorvoertuigen (> 3,5 ton)"
45204,Carrosserieherstelling
47512,Detailhandel in huishoudtextiel en beddengoed in gespecialiseerde winkels
46694,"Groothandel in hijs-, hef- en transportwerktuigen"
13929,"Vervaardiging van overige geconfectioneerde artikelen van textiel, m.u.v. kleding"
46498,Groothandel in lederwaren en reisartikelen
47722,Detailhandel in lederwaren en reisartikelen in gespecialiseerde winkels
45203,Reparatie en montage van specifieke auto-onderdelen
1110,"Teelt van granen (m.u.v. rijst), peulgewassen en oliehoudende zaden"
1410,Fokken van melkvee
1420,Fokken van andere runderen en buffels
1620,Ondersteunende activiteiten in verband met de veeteelt
64910,Financiële lease
28299,"Vervaardiging van andere machines en apparaten voor algemeen gebruik, n.e.g."
